Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
21-NOV-2025,22386.15,22388.2,22129.5,22151.15,1251550604,18760.88
20-NOV-2025,22490.55,22494.8,22382.85,22406.75,1305439580,18807.48
19-NOV-2025,22348,22432.85,22290.05,22414.65,1092334957,19273.17
18-NOV-2025,22494.6,22495.4,22322.35,22342.65,1223393295,22367.62
17-NOV-2025,22409.3,22493.15,22378.95,22482.4,1626490115,20760
14-NOV-2025,22325.45,22403.85,22247.85,22331.25,1730392592,22892.51
13-NOV-2025,22420.4,22470.25,22299.9,22322.45,1922065459,21389.22
12-NOV-2025,22317.65,22418.25,22293.75,22394.45,1657913810,25616.31
11-NOV-2025,22174.55,22237.2,22021.85,22224.4,2509479940,21229.12
10-NOV-2025,22068.95,22181.3,22043.55,22126.6,1129513913,20375.81
07-NOV-2025,21866.5,22055.2,21681.15,22026.4,1785376142,26566.11
06-NOV-2025,22152.9,22166.7,21897.4,21923.1,1333127168,21064.6
04-NOV-2025,22247.05,22255.8,22108.65,22135.95,1998544211,24493.37
03-NOV-2025,22073.1,22251.15,22051.85,22216.1,3112006604,22480.84
31-OCT-2025,22182.2,22238.15,22029.8,22045.95,1768546204,24202.33
30-OCT-2025,22237.15,22237.7,22071.15,22154.45,3115217256,23718.06
29-OCT-2025,22090.1,22212.25,22032.3,22190.5,1619573709,23429.85
28-OCT-2025,22103.55,22126.4,21982.85,22063,2280744810,24361.51
27-OCT-2025,21960.8,22073.4,21930.3,22064.65,3759150148,23217.97
24-OCT-2025,21984.9,22040,21830.95,21890.9,1393793825,17611.93
23-OCT-2025,22064.55,22100.65,21907.35,21940.05,2028210552,23605.79
21-OCT-2025,22015.85,22039.45,21943.35,21972.05,331487505,3689.18
20-OCT-2025,21877.1,21969.65,21852.5,21924.85,1262078099,20298.78
17-OCT-2025,21916.15,21918.45,21723.7,21782.8,1221355539,21594.39
16-OCT-2025,21861.1,21930.2,21806,21900.9,1107559788,22190.23
15-OCT-2025,21649.3,21826.5,21631.05,21796.5,1368159352,23118.65
14-OCT-2025,21813.4,21842.3,21564.1,21595.95,1408972111,20326.62
13-OCT-2025,21676.6,21761.2,21608.05,21746.75,1719689494,20190.11
10-OCT-2025,21681.9,21790.6,21637.1,21743.95,1720349466,22937.32
09-OCT-2025,21523.25,21664.7,21492.05,21655.9,1286732509,19080.51
08-OCT-2025,21639.15,21684.75,21453.05,21477.85,1559973031,19037.75
07-OCT-2025,21589.6,21649.85,21543.55,21635.9,1995946272,21158.7
06-OCT-2025,21424.75,21561.3,21369.75,21551.05,1797475618,20679
03-OCT-2025,21256.65,21413.2,21221.75,21400.3,1275907006,24129.55
01-OCT-2025,21055.55,21237,21002.4,21220.45,1255967550,20450.53
30-SEP-2025,21083.9,21104.3,20913.1,21038.7,1122788677,26812.93
29-SEP-2025,21037.55,21149.65,20944.65,21020,1370472111,29602.1
26-SEP-2025,21334.15,21353.3,20951.45,20967.75,2086620464,20298.96
25-SEP-2025,21536.05,21620.75,21353.6,21381.5,1218542363,18773.43
24-SEP-2025,21715.7,21732.4,21504.05,21523.35,1163863856,21060.88
23-SEP-2025,21809.4,21828.95,21638.55,21713.6,1822079397,20340.29
22-SEP-2025,21867.9,21943.95,21723.45,21777.5,1470740812,21547.75
19-SEP-2025,21920.55,21955.15,21882.4,21900.6,3447665578,26898.28
18-SEP-2025,21899.45,21914.4,21783.95,21898.8,1065429936,18280.81
17-SEP-2025,21858.55,21890,21778.55,21831.05,1150286692,19959.37
16-SEP-2025,21697.45,21805.75,21643.15,21791.15,1351094734,17316.51
15-SEP-2025,21603.1,21676.55,21562.3,21657.4,2426973504,17680.24
12-SEP-2025,21580.6,21610.7,21540.8,21567.2,1671550866,19761.59
11-SEP-2025,21532.55,21572.1,21476.25,21507.75,1168175304,24324.15
10-SEP-2025,21402.2,21513.95,21394.1,21498.35,1373371158,22061.3
09-SEP-2025,21299.2,21320.3,21213.7,21295.9,1266506639,14833.84
08-SEP-2025,21241,21348.95,21164.85,21254.1,1551388546,16016.01
05-SEP-2025,21224.4,21310.8,21066.3,21172.65,2623827434,18237.41
04-SEP-2025,21524.5,21524.5,21130.9,21157.95,2085918628,24215.81
03-SEP-2025,21194.3,21305.15,21155.25,21292.25,2129134254,24346.91
02-SEP-2025,21183.7,21247.25,21049.35,21149.7,1609926134,22804.17
01-SEP-2025,20816.2,21122.5,20812.4,21111.85,1961590188,22857.06
29-AUG-2025,20860.55,20949.45,20726.9,20750.3,1803827076,21266.14
28-AUG-2025,21119.8,21119.8,20848.7,20864.75,1931068190,24310.67
26-AUG-2025,21366.15,21402.5,21074.55,21119.3,2819483048,40700.15
25-AUG-2025,21515.75,21547.15,21419.25,21432.3,2048521078,19189.79
22-AUG-2025,21492.4,21532,21418.95,21438.2,2382911966,18150.75
21-AUG-2025,21633.2,21661.9,21467.15,21476.2,1362832822,23468.5
20-AUG-2025,21482,21590.65,21429.4,21566.1,2093718211,22831.16
19-AUG-2025,21317.55,21475.85,21207.25,21466.85,1483271693,20781.2
18-AUG-2025,21249.35,21378.2,21217.25,21267.05,1422155218,22410.15
14-AUG-2025,21120.75,21160.95,20964.85,21017.05,1240444144,20556.85
13-AUG-2025,21023.2,21110.3,20998.75,21067.3,1144548311,21567.09
12-AUG-2025,21013.85,21052.6,20917.9,20935.2,740782146,16215
11-AUG-2025,20840.45,21015.35,20768.25,20983.8,681617775,16620.61
08-AUG-2025,21202.7,21203.2,20813.05,20848.25,820214943,21164.79
07-AUG-2025,20997.65,21183.2,20829.5,21152.1,809878725,19792.25
06-AUG-2025,21338.05,21340.75,21010.75,21096.65,681027974,20493.12
05-AUG-2025,21346.4,21387.65,21207.1,21288.85,955899374,20553.51
04-AUG-2025,21095.6,21345.2,21047.15,21329.4,977109785,17972.59
01-AUG-2025,21381.7,21409.8,21060.05,21088.65,1182581562,18672.85
31-JUL-2025,21287.55,21483,21250.05,21361.3,944540424,22962.13
30-JUL-2025,21544.4,21572.5,21446.9,21540.25,807072819,18625.47
29-JUL-2025,21284.95,21521.6,21257.4,21501,806812515,21551.43
28-JUL-2025,21468.05,21648.35,21276.6,21314.85,1023733788,18906.88
25-JUL-2025,21812.05,21821.05,21479.9,21501.6,842337007,20031.5
24-JUL-2025,21956.85,21959.9,21813.05,21856.15,829677711,22927.1
23-JUL-2025,21925.6,21957.6,21789,21949.25,1000033535,23700.46
22-JUL-2025,22058.6,22062.35,21863.5,21884.05,810345130,20613.59
21-JUL-2025,21866.25,22020.85,21753.1,21997,804148641,19635.81
18-JUL-2025,22031.25,22060.3,21830.35,21858.85,821066584,20070.89
17-JUL-2025,22058.7,22070.25,21977.45,22006.25,971188018,23590.03
16-JUL-2025,22010.6,22050.65,21957.35,21996.3,1316285592,21305.53
