Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
30-SEP-2024,19249.9,19290.35,19079.1,19179.65,315719467,10580.98
01-OCT-2024,19230.45,19349.5,19222.55,19331.3,344454962,13102.71
03-OCT-2024,19031.15,19229.15,18878.85,18952.6,305127786,13257.37
04-OCT-2024,18934.75,19042,18566.6,18758.65,274092030,11277.91
07-OCT-2024,18840.6,18907.45,18102.05,18242.85,341950794,11540.02
08-OCT-2024,18208.55,18658.8,18097.45,18617.65,277075855,10508.47
09-OCT-2024,18718.45,18940.7,18716.8,18864.6,314270615,11390.4
10-OCT-2024,18976.6,19018.3,18884.15,18900,204290923,9264.64
11-OCT-2024,18950.15,19064.1,18894.5,19008.8,184490017,8449.92
14-OCT-2024,19074.25,19105.75,18992.2,19090.55,228495876,12693.73
15-OCT-2024,19179.55,19318.6,19149.3,19302.05,224016387,17254.88
16-OCT-2024,19279.25,19346.85,19178.25,19304.9,271355696,17627.38
17-OCT-2024,19374.9,19391.9,19039.5,19065.95,270782575,12984.69
18-OCT-2024,18957.75,19102.65,18645.4,19077.8,356753186,14330
21-OCT-2024,19166.9,19181.5,18765.8,18797.4,324069822,15781.07
22-OCT-2024,18777.6,18782.4,18025.45,18061,311781965,13434.63
23-OCT-2024,18034.95,18459.2,17816.65,18286.2,332817485,15127.6
24-OCT-2024,18332.25,18426.1,18210.85,18249.15,333196771,16298.42
25-OCT-2024,18292.35,18352.85,17670.9,17847.9,330935079,14517.32
28-OCT-2024,17912.3,18139.1,17734.15,18062.3,287870620,11863.73
29-OCT-2024,18099.2,18227.3,17870.65,18198.95,229865058,9353.95
30-OCT-2024,18231.3,18454.7,18183.2,18390.9,267846724,11901.43
31-OCT-2024,18390.45,18630,18316.95,18602.6,296178488,11433.58
01-NOV-2024,18764.95,18862.25,18738.85,18794.9,66752405,2501.46
04-NOV-2024,18773.15,18789.55,18308.15,18424.65,226660341,9607.03
05-NOV-2024,18370.4,18524.15,18248.6,18503.45,252316901,9903.43
06-NOV-2024,18592.5,18921.4,18550.35,18906.1,332867191,13619.39
07-NOV-2024,18976.05,19031.9,18740.75,18763.85,335876740,13624.8
08-NOV-2024,18783.25,18797.35,18401.15,18445.6,329943724,13591.56
11-NOV-2024,18382.6,18416.45,18204.45,18225.15,362189768,12668.07
12-NOV-2024,18261.95,18391.25,17950.05,17991.6,289206638,12014.75
13-NOV-2024,17903.35,17941.15,17431.5,17458.9,308921499,12608.79
14-NOV-2024,17500.7,17749.15,17497.1,17601.05,259415946,9080.44
18-NOV-2024,17641.65,17695.7,17367.45,17507.25,322427396,11356.96
19-NOV-2024,17593.9,17893.05,17591.6,17677.35,274369468,9962.43
21-NOV-2024,17676.9,17707.05,17432.15,17596.6,246510365,9738.8
22-NOV-2024,17652.65,17797.75,17564.25,17755.55,217569877,8446.38
25-NOV-2024,18055.1,18154.3,18041.2,18115.85,341936193,12022.19
26-NOV-2024,18161.4,18288.4,18145,18265.3,332046368,13276.03
27-NOV-2024,18327.1,18518.35,18269.6,18502.85,299495462,11276
28-NOV-2024,18579.35,18712.35,18468.1,18511.55,254492352,10035.81
29-NOV-2024,18546.05,18666.15,18491.55,18650.95,280392161,10416.51
02-DEC-2024,18666.8,18853.85,18593.75,18845.05,311980779,12818.23
03-DEC-2024,18904.15,19033,18894.45,19003.55,324581632,11305.89
04-DEC-2024,19077.5,19199.35,19008.35,19173.55,424926068,13657.57
05-DEC-2024,19259.65,19352.9,19202.5,19333.55,316474867,15522.45
06-DEC-2024,19377.55,19514.9,19285.9,19492.1,441653225,17982.7
09-DEC-2024,19521.55,19578.75,19456.85,19528.6,567316891,15802.91
10-DEC-2024,19575.25,19634.8,19516.45,19583.2,468144548,17263.39
11-DEC-2024,19631.35,19698.95,19610.85,19657.35,335267570,16896.66
12-DEC-2024,19694,19716.2,19447.7,19466.55,405546664,13649.2
13-DEC-2024,19425,19439.35,19047.85,19407.3,312405030,12070.59
16-DEC-2024,19435.6,19575.5,19430.4,19531.05,269565059,12282.52
17-DEC-2024,19563.15,19598.35,19371.1,19398.45,236358169,10551.33
18-DEC-2024,19410.45,19443.45,19164.2,19230.35,263282186,10716.49
19-DEC-2024,18861.05,19163.6,18856.55,19133.1,205296702,10466.05
20-DEC-2024,19201.4,19241.95,18672.6,18714.3,288194453,12549.11
23-DEC-2024,18822.5,18871.45,18546.45,18687.8,204518764,11987.04
24-DEC-2024,18704.9,18823,18586.1,18732.65,191273778,11452.88
26-DEC-2024,18760.55,18808.6,18608.4,18728.65,232547568,12246.41
27-DEC-2024,18775.3,18822.7,18705.25,18755.85,175349056,9644.92
30-DEC-2024,18762.35,18787.35,18561.1,18639.95,254651273,11704.8
31-DEC-2024,18596.35,18822.3,18472.75,18769.2,351732569,13257.99
01-JAN-2025,18781.9,18989,18753.65,18959.8,237051188,12386.31
02-JAN-2025,19012.8,19089.55,18932.35,19080.35,238492895,12227.15
03-JAN-2025,19120.35,19224.95,19009.45,19033.7,317132342,13486.24
06-JAN-2025,19096.8,19114.3,18385.7,18425.25,329977785,15957.98
07-JAN-2025,18462,18698.9,18459.75,18673.45,246766882,14481.11
08-JAN-2025,18714.1,18730.35,18238.6,18365.65,302838252,16201.97
09-JAN-2025,18366.3,18395.2,18096.05,18118.35,220595197,10922.06
10-JAN-2025,18100.5,18115.05,17628.95,17645.55,301707944,14079.09
13-JAN-2025,17407.7,17531.15,16808.7,16922.1,307858828,13190.97
14-JAN-2025,17014.75,17296.4,16965.5,17257.8,267291375,10902.26
15-JAN-2025,17350.85,17507.55,17162.45,17353.95,259094038,10955.26
