Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
30-SEP-2024,60189.55,60381.1,59829.6,60153.8,1024556536,20651.8
01-OCT-2024,60241.45,60414.8,59896.8,60358.3,784801149,18840.27
03-OCT-2024,59490.3,60099.6,58891.3,59024.7,1022925962,25393.25
04-OCT-2024,58959.8,59274.7,57916.8,58474.45,1067318687,23682.5
07-OCT-2024,58731.25,58855.85,56823.2,57300.2,1408217302,23431.13
08-OCT-2024,57096.15,58649.25,56919,58535.9,1122119725,24598.13
09-OCT-2024,58917.9,59476.55,58873.5,59102.65,1031700090,23270.9
10-OCT-2024,59437.05,59539,58832.3,58935.85,691518446,20238.07
11-OCT-2024,59038.75,59259.15,58826.2,59212.7,732615094,19917.98
14-OCT-2024,59354.2,59520.8,59043.4,59465.45,682354714,21283.89
15-OCT-2024,59664.45,59686.2,59279.65,59593.25,683876509,18295.25
16-OCT-2024,59520.75,59700.3,59234.95,59451.85,690970533,19707.6
17-OCT-2024,59521.3,59550.8,58415.8,58465.95,695368590,17656.49
18-OCT-2024,58222.65,58752.7,57575.3,58649.15,677299513,20705.6
21-OCT-2024,58807.6,58970.35,57614.2,57677.7,894992846,21074.96
22-OCT-2024,57722.65,57804.9,56086.75,56174.05,1017713773,21506.95
23-OCT-2024,56100.6,57033.9,55644.25,56533.55,1110148535,27343.15
24-OCT-2024,56533.2,56796.15,56232.15,56349.75,836169198,21767.3
25-OCT-2024,56482.9,56506.35,54740.95,55277.95,1226112393,25302.92
28-OCT-2024,55349.75,55937.9,55095.7,55736.6,1578032238,19934.79
29-OCT-2024,55979,56312.6,55239.85,56251.3,1086236917,20414.71
30-OCT-2024,56166.2,56800.9,55973.65,56339.25,1546236021,21577.29
31-OCT-2024,56349.1,56400.55,55746.2,56112.85,1205465349,17623.03
01-NOV-2024,56471.15,56657.05,56415.7,56496.05,353944795,2718.03
04-NOV-2024,56573.95,56573.95,55505.1,55784.55,1088282299,16169.54
05-NOV-2024,55706.25,56173,55191.3,56115.45,1010532557,18339.44
06-NOV-2024,56452.5,57435.1,56369.7,57355.8,848026016,22869.41
07-NOV-2024,57628.3,57731.55,57037.7,57109.15,813646476,17838.91
08-NOV-2024,57201.7,57214.85,56207.2,56352,813641877,20812.23
11-NOV-2024,56221.8,56349.3,55751.25,55853.75,847291042,17218.33
12-NOV-2024,56067.7,56358.75,55131.1,55257.5,671551922,15236.78
13-NOV-2024,55065.45,55172.45,53635.85,53800.85,1060604048,17777.55
14-NOV-2024,53875.5,54471.4,53870.75,54043.1,826445628,14934.97
18-NOV-2024,54292,54369.5,53680.2,54044.8,954265749,17627.27
19-NOV-2024,54269.6,55082.5,54265.9,54548.25,805451396,15894.63
21-NOV-2024,54555.6,54638.1,53929.8,54385.35,1216748900,18410.53
22-NOV-2024,54460.75,55067.8,54354.1,55016.85,1107075797,16282.84
25-NOV-2024,55951.4,56168.5,55844.4,55900.55,1702631065,44440.27
26-NOV-2024,56092.2,56354.45,55861.4,55914.4,2224783453,16896.02
27-NOV-2024,56084.05,56303.7,55672.05,56272.35,1558223217,16027.18
28-NOV-2024,56414.1,56768.95,56169.65,56300.75,1560398539,19653.81
29-NOV-2024,56339.55,56532.05,56116.85,56392.65,1031409326,18825.9
02-DEC-2024,56400.65,57060.65,56227.15,57000.85,750624333,17155.61
03-DEC-2024,57370.15,57543,57242.45,57509,818524169,18967.48
04-DEC-2024,57734.7,58158.8,57621.8,58112.4,1091148801,21315.8
05-DEC-2024,58448.25,58516.6,58023.5,58441.55,1429076879,24621.73
06-DEC-2024,58571.7,58768.75,58307.55,58704.6,982782825,20870.49
09-DEC-2024,58675.05,59083.65,58649.95,58998.75,775139254,19377.84
10-DEC-2024,59062.6,59173.55,58834.35,59135.4,847971523,17398.69
11-DEC-2024,59135.9,59347.1,59102.65,59292.95,633877059,13305.26
12-DEC-2024,59335.25,59417.2,58958.15,59021.7,758800364,16038.48
13-DEC-2024,58877.5,59024.4,58012.1,58991.55,989848579,16528.27
16-DEC-2024,59144.55,59483.2,59122.8,59443.05,522686343,16162.55
17-DEC-2024,59458.2,59654.95,59023.05,59101.9,892820417,20641.19
18-DEC-2024,59094.2,59119,58447.2,58723.25,825354885,17260.57
19-DEC-2024,57724.8,58607.3,57649.3,58556.25,644812688,16043.32
20-DEC-2024,58739.45,58800.85,56813.45,56906.75,883613628,19544.27
23-DEC-2024,57198.85,57438.75,56680.1,57092.9,635264969,13366.52
24-DEC-2024,57161.15,57322.35,56755.8,57057.9,587058109,11799.22
26-DEC-2024,57150.85,57265.2,56654.1,57125.7,584470792,12025.01
27-DEC-2024,57266.65,57348.95,56950.5,56979.8,439352979,10219.45
30-DEC-2024,56958.35,57321.45,56592.1,57189.75,1270910235,24945.8
31-DEC-2024,56921.65,57382.75,56475.95,57199.45,823205046,15320.4
01-JAN-2025,57225.05,57473.85,57026.35,57450.9,727966981,10621.32
02-JAN-2025,57581.6,58170.9,57411,58108.2,856903275,15347.6
03-JAN-2025,58211.35,58393.8,57858.25,57931.05,993548584,16116.37
06-JAN-2025,58096.4,58117.1,56187.8,56366.95,1020447383,16851.83
07-JAN-2025,56512.4,57116.6,56500,56869.3,812782289,15690.64
08-JAN-2025,56994.5,57007.05,55667.3,56270.6,781060884,18395.96
09-JAN-2025,56332.25,56455.85,55669.05,55745.9,738976015,18732.67
10-JAN-2025,55658.15,55736.5,54526.25,54585.75,847261749,18065.53
13-JAN-2025,53909.65,54083.35,52248.5,52390.4,1278620881,21083.68
14-JAN-2025,52638,53829.5,52635.65,53676.5,1194894016,19210.46
15-JAN-2025,53931.9,54295.8,53453.9,53899,1938213032,21192.29
16-JAN-2025,54460.2,54819.95,54410.3,54483.8,1062650441,18702.56
17-JAN-2025,54515.7,54792.25,54188.85,54607.65,936890001,16131.87
20-JAN-2025,54933.7,55243.35,54345.2,55106.2,2287074507,19963.11
21-JAN-2025,55205.6,55256.85,53779.65,53834.95,1023739562,19963.03
22-JAN-2025,53936.95,53983.05,52353.45,53113.5,870143430,20503.32
23-JAN-2025,53219.65,54254.4,53103.35,54098.85,798147588,20707.83
24-JAN-2025,54098.9,54303.25,53082.85,53262.95,718734860,18919.41
27-JAN-2025,52757.1,52765.05,51629.65,51795.9,1110668016,18162.04
28-JAN-2025,51919.35,52092.2,50875.05,51529.45,1056047053,22347.56
29-JAN-2025,51626.15,52758.6,51616.95,52718.85,674942927,16411.91
30-JAN-2025,52973.55,53196.05,52544.2,52714.25,738831273,18814.33
31-JAN-2025,52841.65,53815.65,52689.4,53712.2,973317142,21686.68
01-FEB-2025,53953.55,54162.55,52744.3,53486.15,1582400890,23462.03
03-FEB-2025,53099.4,53214.6,52495.3,52988.8,1000451032,21892.87
04-FEB-2025,53372.5,53894.25,53274.75,53813.8,908028849,19819.34
05-FEB-2025,54058.1,54535.75,54040.15,54180.85,815500865,18853.47
06-FEB-2025,54417.3,54454.25,53370.7,53500.85,587440480,14799.48
07-FEB-2025,53557.55,53909.4,53032.65,53609.15,1029518987,16173.73
10-FEB-2025,53620.05,53675.1,52305,52471.05,599462732,14728.36
11-FEB-2025,52503.85,52557.3,50551.95,50887.95,673442836,15375.29
12-FEB-2025,50779.3,51048.85,49357.65,50756.4,1153660356,20558.09
13-FEB-2025,50856.4,51556.2,50669.15,50881.2,1123634902,16957.03
14-FEB-2025,51074.3,51159.25,49139.85,49654.15,933847483,15405.96
17-FEB-2025,49281.25,49922.2,48503.45,49849.85,902246004,14749.48
18-FEB-2025,49906.55,49982.1,49120.8,49751.45,745213405,13117.55
19-FEB-2025,49485.8,50609.25,49214.55,50527.25,762805548,17632.6
20-FEB-2025,50405.15,51214.5,50195.9,51163.8,569636394,14725.78
21-FEB-2025,51099.75,51555.55,50308.7,50486.2,768616896,15823.91
24-FEB-2025,50012.9,50159.3,49561.25,50013.1,616395806,12613.9
25-FEB-2025,49967.3,50292.55,49590.25,49702.15,505185077,11325.15
27-FEB-2025,49757.05,49858.1,48961.85,49136.75,819778695,18906.21
28-FEB-2025,48732.05,48755.7,47485.3,47915.2,1206109259,30274.78
03-MAR-2025,47962.2,48104.35,46865.7,47984.15,1062554335,20325.04
04-MAR-2025,47437.75,48271.8,47056.9,48007.85,924363671,18172.89
05-MAR-2025,47874.65,49203.95,47874.65,49168.35,958146926,22979.79
06-MAR-2025,49645.65,49812.15,49252.6,49348.1,776002449,16039.39
07-MAR-2025,49340,49644.95,49082.65,49190.6,797924686,15249.67
10-MAR-2025,49248.4,49541.2,48281.4,48440.1,898896998,14319.74
11-MAR-2025,47999.6,48872.4,47831.95,48762.75,836758752,17372.65
12-MAR-2025,48934.85,49085.85,47910.55,48486.6,1001816429,15666.38
13-MAR-2025,48683.75,48743.95,48036.9,48125.1,804979143,13385.85
17-MAR-2025,48196.9,48692.85,48139.5,48461.8,716005736,12905.2
18-MAR-2025,48737.65,49580.05,48624.15,49516.9,736746004,13960.45
19-MAR-2025,49739.35,50899.65,49662.45,50817.1,1305300794,22561.95
20-MAR-2025,51151,51242.95,50605.85,51144.4,955832347,20291.83
21-MAR-2025,51160.65,51905.95,51011.5,51850.75,1426472384,25943.77
24-MAR-2025,52237.5,52762.8,52047.75,52524.05,1104373985,20645.93
25-MAR-2025,52882.6,52926.85,51714.95,51969.75,1056432541,19958.93
26-MAR-2025,52035.65,52416.1,51581,51646.15,1126314559,18267.55
27-MAR-2025,51423.4,51954.55,51286.85,51839.4,1814262296,26427.95
28-MAR-2025,52083.15,52473.2,51447.4,51672.25,1509813230,26766.25
01-APR-2025,51554.15,52039.1,51097.05,51229.6,2861139419,17225.02
02-APR-2025,51358.75,52082.1,50893.45,52053.2,1480886262,18269.84
03-APR-2025,51587.25,52210.75,51562.65,52162.15,1213315669,22822.69
